city1,city2
"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK"
"Columbus, OH","Phoenix, AZ"
"Denver, CO","Tucson, AZ"
"Phoenix, AZ","Reno, NV"
"Cincinnati, OH","Phoenix, AZ"
"Memphis, TN","Orlando, FL"
"Indianapolis, IN","Seattle, WA"
"Houston, TX","Memphis, TN"
"Birmingham, AL","Dallas/Fort Worth, TX"
"Atlanta, GA (Metropolitan Area)","Nashville, TN"
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL"
"Albuquerque, NM","Dallas/Fort Worth, TX"
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH"
"Eugene, OR","Los Angeles, CA (Metropolitan Area)"
"Chicago, IL","Cincinnati, OH"
"Boston, MA (Metropolitan Area)","Kansas City, MO"
"Austin, TX","Raleigh/Durham, NC"
"St. Louis, MO","Tampa, FL (Metropolitan Area)"
"Charleston, SC","Miami, FL (Metropolitan Area)"
"Fort Myers, FL","Hartford, CT"
"Kansas City, MO","San Francisco, CA (Metropolitan Area)"
"Cincinnati, OH","Fort Myers, FL"
"Los Angeles, CA (Metropolitan Area)","Memphis, TN"
"Dallas/Fort Worth, TX","Milwaukee, WI"
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)"
"Knoxville, TN","New York City, NY (Metropolitan Area)"
"Houston, TX","Tulsa, OK"
"Boise, ID","Denver, CO"
"El Paso, TX","Las Vegas, NV"
"New York City, NY (Metropolitan Area)","Omaha, NE"
"Austin, TX","Charlotte, NC"
"Chicago, IL","Richmond, VA"
"Buffalo, NY","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","Louisville, KY"
"Atlantic City, NJ","Orlando, FL"
"Atlanta, GA (Metropolitan Area)","Milwaukee, WI"
"Dallas/Fort Worth, TX","Omaha, NE"
"Phoenix, AZ","Pittsburgh, PA"
"Dallas/Fort Worth, TX","Panama City, FL"
"Orlando, FL","Sacramento, CA"
"Albuquerque, NM","New York City, NY (Metropolitan Area)"
"Norfolk, VA (Metropolitan Area)","Orlando, FL"
"Hartford, CT","West Palm Beach/Palm Beach, FL"
"Cincinnati, OH","Houston, TX"
"Hartford, CT","Los Angeles, CA (Metropolitan Area)"
"New Orleans, LA","Tampa, FL (Metropolitan Area)"
"Chicago, IL","Norfolk, VA (Metropolitan Area)"
"Detroit, MI","New Orleans, LA"
"Omaha, NE","Washington, DC (Metropolitan Area)"
"Albany, NY","Miami, FL (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Oklahoma City, OK"
"Boise, ID","Las Vegas, NV"
"Boston, MA (Metropolitan Area)","Buffalo, NY"
"Everett, WA","Phoenix, AZ"
"Houston, TX","Sacramento, CA"
"New Haven, CT","Orlando, FL"
"Cincinnati, OH","Seattle, WA"
"San Antonio, TX","San Francisco, CA (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","San Antonio, TX"
"Sacramento, CA","Salt Lake City, UT"
"Boston, MA (Metropolitan Area)","Milwaukee, WI"
"Boise, ID","Portland, OR"
"Greenville/Spartanburg, SC","Washington, DC (Metropolitan Area)"
"San Diego, CA","Tampa, FL (Metropolitan Area)"
"Columbus, OH","Houston, TX"
"Dallas/Fort Worth, TX","Pensacola, FL"
"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"Orlando, FL","Rochester, NY"
"Orlando, FL","Trenton, NJ"
"Nashville, TN","Salt Lake City, UT"
"Philadelphia, PA","St. Louis, MO"
"Charleston, SC","Dallas/Fort Worth, TX"
"Des Moines, IA","Phoenix, AZ"
"Philadelphia, PA","Savannah, GA"
"Dallas/Fort Worth, TX","Richmond, VA"
"Phoenix, AZ","Provo, UT"
"Reno, NV","Seattle, WA"
"Fort Myers, FL","Pittsburgh, PA"
"Grand Rapids, MI","New York City, NY (Metropolitan Area)"
"Oklahoma City, OK","Washington, DC (Metropolitan Area)"
"Nashville, TN","New Orleans, LA"
"Memphis, TN","Miami, FL (Metropolitan Area)"
"Denver, CO","Fort Myers, FL"
"Atlanta, GA (Metropolitan Area)","Buffalo, NY"
"Miami, FL (Metropolitan Area)","Orlando, FL"
"Nashville, TN","Sacramento, CA"
"Albuquerque, NM","Denver, CO"
"Columbus, OH","San Francisco, CA (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Spokane, WA"
"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)"
"Seattle, WA","Tucson, AZ"
"Las Vegas, NV","Omaha, NE"
"Birmingham, AL","Washington, DC (Metropolitan Area)"
"Denver, CO","Reno, NV"
"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI"
"Boise, ID","San Diego, CA"
"Fort Myers, FL","Indianapolis, IN"
"Denver, CO","Hartford, CT"
"Charlotte, NC","Cleveland, OH (Metropolitan Area)"
"Denver, CO","Jacksonville, FL"
"Albuquerque, NM","Seattle, WA"
"Louisville, KY","Miami, FL (Metropolitan Area)"
"Indianapolis, IN","Minneapolis/St. Paul, MN"
"Charlotte, NC","New Orleans, LA"
"Columbus, OH","Fort Myers, FL"
"Detroit, MI","Salt Lake City, UT"
"Columbus, OH","Seattle, WA"
"Dallas/Fort Worth, TX","Hartford, CT"
"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)"
"Minneapolis/St. Paul, MN","New Orleans, LA"
"Buffalo, NY","Los Angeles, CA (Metropolitan Area)"
"Charlotte, NC","St. Louis, MO"
"Kansas City, MO","San Diego, CA"
"Atlanta, GA (Metropolitan Area)","Sacramento, CA"
"Miami, FL (Metropolitan Area)","Portland, OR"
"Philadelphia, PA","Salt Lake City, UT"
"Reno, NV","San Diego, CA"
"Columbus, OH","Minneapolis/St. Paul, MN"
"Kansas City, MO","Nashville, TN"
"Austin, TX","St. Louis, MO"
"Las Vegas, NV","Spokane, WA"
"Denver, CO","Pensacola, FL"
"Nashville, TN","Pittsburgh, PA"
"Colorado Springs, CO","Dallas/Fort Worth, TX"
"Chicago, IL","Knoxville, TN"
"Charlotte, NC","Salt Lake City, UT"
"Pittsburgh, PA","Seattle, WA"
"Huntsville, AL","Washington, DC (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Louisville, KY"
"Cleveland, OH (Metropolitan Area)","Seattle, WA"
"Charlotte, NC","Hartford, CT"
"Denver, CO","Grand Rapids, MI"
"Boston, MA (Metropolitan Area)","Sacramento, CA"
"Dallas/Fort Worth, TX","Fort Myers, FL"
"Jacksonville, FL","Nashville, TN"
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Detroit, MI","St. Louis, MO"
"Charlotte, NC","San Antonio, TX"
"Las Vegas, NV","Oklahoma City, OK"
"Fresno, CA","Las Vegas, NV"
"Omaha, NE","Orlando, FL"
"Austin, TX","Kansas City, MO"
"Raleigh/Durham, NC","San Diego, CA"
"Austin, TX","El Paso, TX"
"Austin, TX","Indianapolis, IN"
"Kansas City, MO","Philadelphia, PA"
"San Antonio, TX","San Diego, CA"
"Charlotte, NC","Kansas City, MO"
"New Orleans, LA","Phoenix, AZ"
"Portland, OR","Seattle, WA"
"Albany, NY","Washington, DC (Metropolitan Area)"
"Chicago, IL","Pensacola, FL"
"Boise, ID","Sacramento, CA"
"Indianapolis, IN","Philadelphia, PA"
"Asheville, NC","New York City, NY (Metropolitan Area)"
"Birmingham, AL","New York City, NY (Metropolitan Area)"
"Nashville, TN","Portland, OR"
"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Charlotte, NC"
"Birmingham, AL","Orlando, FL"
"Myrtle Beach, SC","Washington, DC (Metropolitan Area)"
"Austin, TX","Sacramento, CA"
"Las Vegas, NV","Memphis, TN"
"Indianapolis, IN","San Diego, CA"
"Atlanta, GA (Metropolitan Area)","Memphis, TN"
"Oklahoma City, OK","Orlando, FL"
"Charleston, SC","Los Angeles, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Savannah, GA"
"San Diego, CA","St. Louis, MO"
"Louisville, KY","Tampa, FL (Metropolitan Area)"
"Oklahoma City, OK","Phoenix, AZ"
"Albuquerque, NM","Chicago, IL"
"Minneapolis/St. Paul, MN","Valparaiso, FL"
"Fresno, CA","Seattle, WA"
"Denver, CO","Madison, WI"
"Charleston, SC","Denver, CO"
"Dallas/Fort Worth, TX","Valparaiso, FL"
"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA"
"Milwaukee, WI","Tampa, FL (Metropolitan Area)"
"Fayetteville, AR","New York City, NY (Metropolitan Area)"
"Norfolk, VA (Metropolitan Area)","San Diego, CA"
"Pittsburgh, PA","Washington, DC (Metropolitan Area)"
"Dallas/Fort Worth, TX","Grand Rapids, MI"
"Hartford, CT","Las Vegas, NV"
"El Paso, TX","San Antonio, TX"
"Los Angeles, CA (Metropolitan Area)","Tulsa, OK"
"Allentown/Bethlehem/Easton, PA","Sanford, FL"
"Minneapolis/St. Paul, MN","San Antonio, TX"
"Detroit, MI","Kansas City, MO"
"Colorado Springs, CO","Phoenix, AZ"
"Buffalo, NY","Chicago, IL"
"Los Angeles, CA (Metropolitan Area)","Richmond, VA"
"Denver, CO","Tulsa, OK"
"Cleveland, OH (Metropolitan Area)","Nashville, TN"
"Charlotte, NC","Indianapolis, IN"
"Milwaukee, WI","Seattle, WA"
"Chicago, IL","Myrtle Beach, SC"
"Orlando, FL","Portland, ME"
"Salt Lake City, UT","Tampa, FL (Metropolitan Area)"
"Nashville, TN","San Antonio, TX"
"Grand Rapids, MI","Las Vegas, NV"
"San Francisco, CA (Metropolitan Area)","Tucson, AZ"
"Chicago, IL","Louisville, KY"
"Fort Myers, FL","St. Louis, MO"
"Eugene, OR","San Francisco, CA (Metropolitan Area)"
"Pensacola, FL","Washington, DC (Metropolitan Area)"
"Buffalo, NY","Dallas/Fort Worth, TX"
"Cincinnati, OH","Valparaiso, FL"
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL"
"Detroit, MI","Myrtle Beach, SC"
"Chicago, IL","Oklahoma City, OK"
"Boston, MA (Metropolitan Area)","Wilmington, NC"
"New Orleans, LA","Raleigh/Durham, NC"
"Albany, NY","Chicago, IL"
"Chicago, IL","Tucson, AZ"
"Denver, CO","Des Moines, IA"
"Dallas/Fort Worth, TX","Midland/Odessa, TX"
"Denver, CO","Spokane, WA"
"Cincinnati, OH","San Francisco, CA (Metropolitan Area)"
"Bend/Redmond, OR","Los Angeles, CA (Metropolitan Area)"
"San Antonio, TX","Tampa, FL (Metropolitan Area)"
"Omaha, NE","Seattle, WA"
"Charleston, SC","Nashville, TN"
"Grand Rapids, MI","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Pensacola, FL"
"Fresno, CA","San Diego, CA"
"New York City, NY (Metropolitan Area)","Vero Beach, FL"
"Houston, TX","Jacksonville, FL"
"Madison, WI","New York City, NY (Metropolitan Area)"
"Albuquerque, NM","Houston, TX"
"Asheville, NC","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Lubbock, TX"
"Knoxville, TN","Miami, FL (Metropolitan Area)"
"Kansas City, MO","Salt Lake City, UT"
"Knoxville, TN","Washington, DC (Metropolitan Area)"
"Cincinnati, OH","Minneapolis/St. Paul, MN"
"Detroit, MI","San Antonio, TX"
"Kansas City, MO","Minneapolis/St. Paul, MN"
"Des Moines, IA","New York City, NY (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Sarasota/Bradenton, FL"
"Oklahoma City, OK","Seattle, WA"
"Denver, CO","El Paso, TX"
"Birmingham, AL","Chicago, IL"
"San Diego, CA","Spokane, WA"
"Valparaiso, FL","Washington, DC (Metropolitan Area)"
"Jacksonville, FL","Las Vegas, NV"
"Grand Rapids, MI","Phoenix, AZ"
"Raleigh/Durham, NC","Salt Lake City, UT"
"Denver, CO","Richmond, VA"
"Dallas/Fort Worth, TX","Reno, NV"
"Milwaukee, WI","Nashville, TN"
"Chicago, IL","Greenville/Spartanburg, SC"
"Philadelphia, PA","Pittsburgh, PA"
"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN"
"Palm Springs, CA","Portland, OR"
"Miami, FL (Metropolitan Area)","Tallahassee, FL"
"Birmingham, AL","Houston, TX"
"Jacksonville, FL","Miami, FL (Metropolitan Area)"
"Philadelphia, PA","Portland, OR"
"Phoenix, AZ","Sioux Falls, SD"
"Buffalo, NY","Las Vegas, NV"
"Portland, OR","Spokane, WA"
"Birmingham, AL","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Knoxville, TN"
"Los Angeles, CA (Metropolitan Area)","Medford, OR"
"Richmond, VA","Tampa, FL (Metropolitan Area)"
"Boise, ID","Spokane, WA"
"Salt Lake City, UT","St. Louis, MO"
"Grand Rapids, MI","Orlando, FL"
"Denver, CO","Memphis, TN"
"Hartford, CT","Minneapolis/St. Paul, MN"
"Miami, FL (Metropolitan Area)","Sacramento, CA"
"Buffalo, NY","Charlotte, NC"
"Houston, TX","Milwaukee, WI"
"New York City, NY (Metropolitan Area)","Palm Springs, CA"
"Fayetteville, AR","Los Angeles, CA (Metropolitan Area)"
"Key West, FL","New York City, NY (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Grand Rapids, MI"
"New York City, NY (Metropolitan Area)","Syracuse, NY"
"New Orleans, LA","San Diego, CA"
"Rochester, NY","Washington, DC (Metropolitan Area)"
"Bozeman, MT","Los Angeles, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Oklahoma City, OK"
"Atlanta, GA (Metropolitan Area)","Omaha, NE"
"Atlanta, GA (Metropolitan Area)","Louisville, KY"
"Kansas City, MO","Portland, OR"
"El Paso, TX","Phoenix, AZ"
"Des Moines, IA","Las Vegas, NV"
"Detroit, MI","Portland, OR"
"Charleston, SC","Minneapolis/St. Paul, MN"
"Columbia, SC","New York City, NY (Metropolitan Area)"
"Houston, TX","Omaha, NE"
"Hartford, CT","Phoenix, AZ"
"Columbus, OH","Philadelphia, PA"
"Denver, CO","Norfolk, VA (Metropolitan Area)"
"Colorado Springs, CO","Washington, DC (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Sacramento, CA"
"Charleston, SC","Seattle, WA"
"Houston, TX","Louisville, KY"
"Fort Myers, FL","Milwaukee, WI"
"Boston, MA (Metropolitan Area)","Louisville, KY"
"Bozeman, MT","New York City, NY (Metropolitan Area)"
"Detroit, MI","Jacksonville, FL"
"Columbia, SC","Washington, DC (Metropolitan Area)"
"Houston, TX","Norfolk, VA (Metropolitan Area)"
"Raleigh/Durham, NC","St. Louis, MO"
"Omaha, NE","San Francisco, CA (Metropolitan Area)"
"Charlotte, NC","West Palm Beach/Palm Beach, FL"
"Las Vegas, NV","Mission/McAllen/Edinburg, TX"
"Nashville, TN","Panama City, FL"
"Chicago, IL","El Paso, TX"
"Chicago, IL","Portland, ME"
"Colorado Springs, CO","Las Vegas, NV"
"Chicago, IL","Palm Springs, CA"
"Chicago, IL","Fayetteville, AR"
"Harlingen/San Benito, TX","Houston, TX"
"Des Moines, IA","Washington, DC (Metropolitan Area)"
"Denver, CO","Louisville, KY"
"Dallas/Fort Worth, TX","Tucson, AZ"
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC"
"Las Vegas, NV","Richmond, VA"
"Las Vegas, NV","Louisville, KY"
"Tucson, AZ","Washington, DC (Metropolitan Area)"
"Cedar Rapids/Iowa City, IA","Denver, CO"
"Everett, WA","Las Vegas, NV"
"Albuquerque, NM","Austin, TX"
"Bozeman, MT","Seattle, WA"
"Grand Rapids, MI","Los Angeles, CA (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","New Haven, CT"
"Charleston, SC","Houston, TX"
"Charlotte, NC","Fort Myers, FL"
"Cleveland, OH (Metropolitan Area)","Sarasota/Bradenton, FL"
"Pittsburgh, PA","Sarasota/Bradenton, FL"
"Reno, NV","San Francisco, CA (Metropolitan Area)"
"Denver, CO","Savannah, GA"
"Albany, NY","Tampa, FL (Metropolitan Area)"
"Hartford, CT","San Francisco, CA (Metropolitan Area)"
"Boise, ID","Dallas/Fort Worth, TX"
"Myrtle Beach, SC","Philadelphia, PA"
"Syracuse, NY","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Milwaukee, WI"
"Fargo, ND","Phoenix, AZ"
"San Antonio, TX","St. Louis, MO"
"Salt Lake City, UT","San Antonio, TX"
"Buffalo, NY","Denver, CO"
"Columbus, OH","Sarasota/Bradenton, FL"
"Dallas/Fort Worth, TX","Fresno, CA"
"Chicago, IL","Syracuse, NY"
"El Paso, TX","Washington, DC (Metropolitan Area)"
"New Haven, CT","Tampa, FL (Metropolitan Area)"
"Denver, CO","Knoxville, TN"
"Miami, FL (Metropolitan Area)","Rochester, NY"
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)"
"Fort Myers, FL","Houston, TX"
"Atlanta, GA (Metropolitan Area)","Charleston, SC"
"Grand Rapids, MI","Washington, DC (Metropolitan Area)"
"Grand Rapids, MI","Minneapolis/St. Paul, MN"
"Jacksonville, FL","Minneapolis/St. Paul, MN"
"Milwaukee, WI","Minneapolis/St. Paul, MN"
"New York City, NY (Metropolitan Area)","Tulsa, OK"
"Albuquerque, NM","San Diego, CA"
"Burlington, VT","Washington, DC (Metropolitan Area)"
"Chicago, IL","Greensboro/High Point, NC"
"Las Vegas, NV","Norfolk, VA (Metropolitan Area)"
"Fort Myers, FL","Nashville, TN"
"Jacksonville, FL","Norfolk, VA (Metropolitan Area)"
"Chicago, IL","Panama City, FL"
"Atlanta, GA (Metropolitan Area)","Syracuse, NY"
"Las Vegas, NV","Tucson, AZ"
"Pittsburgh, PA","Raleigh/Durham, NC"
"New York City, NY (Metropolitan Area)","Pensacola, FL"
"Houston, TX","Richmond, VA"
"Orlando, FL","Worcester, MA"
"Jacksonville, FL","Phoenix, AZ"
"Portland, OR","Tampa, FL (Metropolitan Area)"
"Sacramento, CA","Spokane, WA"
"New York City, NY (Metropolitan Area)","Reno, NV"
"Hartford, CT","Raleigh/Durham, NC"
"Amarillo, TX","Dallas/Fort Worth, TX"
"Dallas/Fort Worth, TX","Little Rock, AR"
"Philadelphia, PA","San Antonio, TX"
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL"
"Austin, TX","Pittsburgh, PA"
"Las Vegas, NV","Tulsa, OK"
"Cleveland, OH (Metropolitan Area)","Philadelphia, PA"
"Hartford, CT","Myrtle Beach, SC"
"Austin, TX","Columbus, OH"
"Fresno, CA","Phoenix, AZ"
"Cincinnati, OH","Philadelphia, PA"
"Minneapolis/St. Paul, MN","Sarasota/Bradenton, FL"
"Cedar Rapids/Iowa City, IA","Phoenix, AZ"
"Dayton, OH","Washington, DC (Metropolitan Area)"
"Charlotte, NC","Pittsburgh, PA"
"Austin, TX","Cincinnati, OH"
"Houston, TX","Panama City, FL"
"Portland, OR","Reno, NV"
"Chicago, IL","Harrisburg, PA"
"Memphis, TN","Phoenix, AZ"
"Detroit, MI","West Palm Beach/Palm Beach, FL"
"Boise, ID","Chicago, IL"
"Bozeman, MT","San Francisco, CA (Metropolitan Area)"
"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)"
"Cincinnati, OH","Salt Lake City, UT"
"Madison, WI","Washington, DC (Metropolitan Area)"
"Bozeman, MT","Denver, CO"
"Minneapolis/St. Paul, MN","Pittsburgh, PA"
"Atlantic City, NJ","Miami, FL (Metropolitan Area)"
"Charlotte, NC","Portland, OR"
"Dallas/Fort Worth, TX","Spokane, WA"
"Bend/Redmond, OR","San Francisco, CA (Metropolitan Area)"
"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Pasco/Kennewick/Richland, WA"
"Pittsburgh, PA","San Diego, CA"
"Charleston, SC","Cleveland, OH (Metropolitan Area)"
"Charlotte, NC","Sacramento, CA"
"Orlando, FL","Tulsa, OK"
"Santa Barbara, CA","Seattle, WA"
"Chicago, IL","Rochester, NY"
"Chicago, IL","Tulsa, OK"
"Dallas/Fort Worth, TX","Tulsa, OK"
"Dallas/Fort Worth, TX","Greensboro/High Point, NC"
"Philadelphia, PA","Sarasota/Bradenton, FL"
"Austin, TX","Cleveland, OH (Metropolitan Area)"
"Dallas/Fort Worth, TX","Des Moines, IA"
"Birmingham, AL","Denver, CO"
"Jacksonville, FL","Seattle, WA"
"Cleveland, OH (Metropolitan Area)","San Diego, CA"
"Birmingham, AL","Los Angeles, CA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Savannah, GA"
"Buffalo, NY","Phoenix, AZ"
"Albany, NY","Atlanta, GA (Metropolitan Area)"
"Myrtle Beach, SC","Pittsburgh, PA"
"Cincinnati, OH","Sarasota/Bradenton, FL"
"Denver, CO","Santa Barbara, CA"
"Little Rock, AR","New York City, NY (Metropolitan Area)"
"Kansas City, MO","Raleigh/Durham, NC"
"Charlotte, NC","Milwaukee, WI"
"New Orleans, LA","St. Louis, MO"
"Denver, CO","Palm Springs, CA"
"Chicago, IL","Indianapolis, IN"
"Charleston, SC","Detroit, MI"
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)"
"Hartford, CT","Nashville, TN"
"Bozeman, MT","Chicago, IL"
"Everett, WA","Los Angeles, CA (Metropolitan Area)"
"Houston, TX","Lubbock, TX"
"Albuquerque, NM","Portland, OR"
"Huntsville, AL","Orlando, FL"
"Houston, TX","Knoxville, TN"
"Phoenix, AZ","Tulsa, OK"
"Minneapolis/St. Paul, MN","Savannah, GA"
"Cleveland, OH (Metropolitan Area)","St. Louis, MO"
"Chicago, IL","Des Moines, IA"
"Houston, TX","Little Rock, AR"
"Orlando, FL","Pensacola, FL"
"Houston, TX","Pensacola, FL"
"Boston, MA (Metropolitan Area)","Memphis, TN"
"Grand Rapids, MI","Sanford, FL"
"Houston, TX","Savannah, GA"
"Miami, FL (Metropolitan Area)","Omaha, NE"
"Eugene, OR","Phoenix, AZ"
"Rochester, NY","Tampa, FL (Metropolitan Area)"
"Charleston, SC","Pittsburgh, PA"
"Fort Myers, FL","Raleigh/Durham, NC"
"New Orleans, LA","Portland, OR"
"New York City, NY (Metropolitan Area)","Tucson, AZ"
"Minneapolis/St. Paul, MN","Palm Springs, CA"
"Grand Rapids, MI","Punta Gorda, FL"
"Eagle, CO","New York City, NY (Metropolitan Area)"
"Grand Rapids, MI","Miami, FL (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Tucson, AZ"
"Harlingen/San Benito, TX","Minneapolis/St. Paul, MN"
"Flint, MI","Punta Gorda, FL"
"Madison, WI","Phoenix, AZ"
"Appleton, WI","Phoenix, AZ"
"Buffalo, NY","Fort Myers, FL"
"Flint, MI","Sanford, FL"
"Miami, FL (Metropolitan Area)","Syracuse, NY"
"Eagle, CO","Miami, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Palm Springs, CA"
"Indianapolis, IN","Sarasota/Bradenton, FL"
"Minneapolis/St. Paul, MN","West Palm Beach/Palm Beach, FL"
"Aspen, CO","Los Angeles, CA (Metropolitan Area)"
"Jackson, WY","New York City, NY (Metropolitan Area)"
"New Orleans, LA","Salt Lake City, UT"
"New Haven, CT","West Palm Beach/Palm Beach, FL"
"Key West, FL","Washington, DC (Metropolitan Area)"
"Appleton, WI","Punta Gorda, FL"
"Boston, MA (Metropolitan Area)","Key West, FL"
"Appleton, WI","Sanford, FL"
"Bismarck/Mandan, ND","Phoenix, AZ"
"Denver, CO","West Palm Beach/Palm Beach, FL"
"Knoxville, TN","Sanford, FL"
"Fort Myers, FL","Madison, WI"
"Detroit, MI","Sarasota/Bradenton, FL"
"Aspen, CO","New York City, NY (Metropolitan Area)"
"Portland, OR","Tucson, AZ"
"Des Moines, IA","Miami, FL (Metropolitan Area)"
"Madison, WI","Orlando, FL"
"Fort Myers, FL","New Haven, CT"
"Fort Wayne, IN","Punta Gorda, FL"
"Fort Myers, FL","Grand Rapids, MI"
"Flint, MI","Tampa, FL (Metropolitan Area)"
"Kansas City, MO","New Orleans, LA"
"Palm Springs, CA","Washington, DC (Metropolitan Area)"
"Houston, TX","San Antonio, TX"
"Fort Myers, FL","Phoenix, AZ"
"Des Moines, IA","Orlando, FL"
"Pasco/Kennewick/Richland, WA","Phoenix, AZ"
"Key West, FL","Philadelphia, PA"
"Fort Myers, FL","Kansas City, MO"
"Fort Myers, FL","Las Vegas, NV"
"Burlington, VT","Orlando, FL"
"Knoxville, TN","Tampa, FL (Metropolitan Area)"
"Chicago, IL","Key West, FL"
"Palm Springs, CA","Sacramento, CA"
"Grand Rapids, MI","Sarasota/Bradenton, FL"
"Atlantic City, NJ","Fort Myers, FL"
"Phoenix, AZ","Richmond, VA"
"New Orleans, LA","San Antonio, TX"
"Birmingham, AL","Tampa, FL (Metropolitan Area)"
"Dallas/Fort Worth, TX","Sarasota/Bradenton, FL"
"Denver, CO","Sarasota/Bradenton, FL"
"Phoenix, AZ","Wichita, KS"
"Bozeman, MT","Phoenix, AZ"
"Cincinnati, OH","Punta Gorda, FL"
"Nashville, TN","Sarasota/Bradenton, FL"
"Boise, ID","Orlando, FL"
"Atlantic City, NJ","West Palm Beach/Palm Beach, FL"
"Flint, MI","Sarasota/Bradenton, FL"
"Boston, MA (Metropolitan Area)","Bozeman, MT"
"Cedar Rapids/Iowa City, IA","Punta Gorda, FL"
"Houston, TX","West Palm Beach/Palm Beach, FL"
"Albuquerque, NM","Orlando, FL"
"New York City, NY (Metropolitan Area)","Steamboat Springs, CO"
"Greenville/Spartanburg, SC","Miami, FL (Metropolitan Area)"
"Las Vegas, NV","Wichita, KS"
"Peoria, IL","Phoenix, AZ"
"Des Moines, IA","Punta Gorda, FL"
"Des Moines, IA","Tampa, FL (Metropolitan Area)"
"Appleton, WI","Tampa, FL (Metropolitan Area)"
"Austin, TX","Houston, TX"
"New Orleans, LA","Pittsburgh, PA"
"Pittsburgh, PA","Salt Lake City, UT"
"Miami, FL (Metropolitan Area)","Worcester, MA"
"Knoxville, TN","Las Vegas, NV"
"Atlanta, GA (Metropolitan Area)","Greensboro/High Point, NC"
"Louisville, KY","Phoenix, AZ"
"Indianapolis, IN","Punta Gorda, FL"
"Charlotte, NC","Memphis, TN"
"Jacksonville, FL","San Francisco, CA (Metropolitan Area)"
"Burlington, VT","New York City, NY (Metropolitan Area)"
"El Paso, TX","New York City, NY (Metropolitan Area)"
"Eureka/Arcata, CA","Los Angeles, CA (Metropolitan Area)"
"Syracuse, NY","Washington, DC (Metropolitan Area)"
"Charlottesville, VA","New York City, NY (Metropolitan Area)"
"San Diego, CA","Santa Rosa, CA"
"Indianapolis, IN","Raleigh/Durham, NC"
"Nashville, TN","Richmond, VA"
"Charlotte, NC","Cincinnati, OH"
"Albuquerque, NM","Atlanta, GA (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Greenville/Spartanburg, SC"
"Denver, CO","Fayetteville, AR"
"Hartford, CT","Houston, TX"
"Charlotte, NC","Columbus, OH"
"Buffalo, NY","Houston, TX"
"Bellingham, WA","Las Vegas, NV"
"Richmond, VA","San Francisco, CA (Metropolitan Area)"
"Indianapolis, IN","Salt Lake City, UT"
"Kansas City, MO","Sacramento, CA"
"Sacramento, CA","San Antonio, TX"
"Denver, CO","Little Rock, AR"
"Cleveland, OH (Metropolitan Area)","New Orleans, LA"
"Nantucket, MA","New York City, NY (Metropolitan Area)"
"Martha's Vineyard, MA","New York City, NY (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Portland, ME"
"Bozeman, MT","Minneapolis/St. Paul, MN"
"Chicago, IL","Reno, NV"
"Kalispell, MT","Los Angeles, CA (Metropolitan Area)"
"Denver, CO","Syracuse, NY"
"Asheville, NC","Boston, MA (Metropolitan Area)"
